step,R_norm,amplitude_norm,trace_mean,min_eigenvalue,finite
48,6.34263277053833,34.436973571777344,1.0,-5.5837276136117e-08,True
49,6.3436479568481445,34.51359939575195,1.0,-3.423837569016541e-08,True
50,6.344595909118652,34.58542251586914,1.0,-4.382783913570165e-08,True
51,6.345482349395752,34.652740478515625,1.0,-4.025087463332966e-08,True
52,6.346311092376709,34.71582794189453,1.0,-4.707656131586191e-08,True
53,6.3470869064331055,34.77494812011719,1.0,-5.601147634592962e-08,True
54,6.347811698913574,34.830345153808594,1.0,-5.452438500697099e-08,True
55,6.348489284515381,34.88225555419922,1.0,-5.26138492773498e-08,True
56,6.349124431610107,34.93088912963867,1.0,-5.021250615300232e-08,True
57,6.349717617034912,34.97645568847656,1.0,-5.82417492012155e-08,True
58,6.35027551651001,35.019142150878906,1.0,-5.005844272432114e-08,True
59,6.350795269012451,35.05913162231445,1.0,-5.129894375954791e-08,True
60,6.351282119750977,35.096588134765625,1.0,-6.942516961316869e-08,True
61,6.351737976074219,35.13167190551758,1.0,-5.942431613448207e-08,True
62,6.352165699005127,35.16453170776367,1.0,-5.963437388345483e-08,True
63,6.352566719055176,35.1953010559082,1.0,-4.957269794658714e-08,True
64,6.352941513061523,35.22412109375,1.0,-5.516523060578038e-08,True
65,6.353292942047119,35.25110626220703,1.0,-4.524824959162288e-08,True
66,6.353621006011963,35.276371002197266,1.0,-6.01330611971207e-08,True
67,6.35392951965332,35.30003356933594,1.0,-4.3012551742549476e-08,True
68,6.354218482971191,35.322181701660156,1.0,-5.124995183791725e-08,True
69,6.354489803314209,35.34292221069336,1.0,-4.3624176271350734e-08,True
70,6.354743480682373,35.36233139038086,1.0,-5.0877730473075644e-08,True
71,6.354982376098633,35.38050079345703,1.0,-6.158571608239072e-08,True
72,6.35520601272583,35.39751052856445,1.0,-4.770900119410726e-08,True
73,6.355414867401123,35.413429260253906,1.0,-4.173560341769189e-08,True
74,6.355611801147461,35.42832565307617,1.0,-3.908431622789976e-08,True
75,6.355795383453369,35.44226837158203,1.0,-5.391342128291399e-08,True
76,6.3559675216674805,35.4553108215332,1.0,-4.1607581380276315e-08,True
77,6.356129169464111,35.4675178527832,1.0,-5.0101078841180424e-08,True
78,6.356281280517578,35.47893524169922,1.0,-6.172643196578065e-08,True
79,6.356423854827881,35.489620208740234,1.0,-4.317327295666473e-08,True
80,6.356557369232178,35.49961471557617,1.0,-4.268706987886617e-08,True
81,6.356681823730469,35.50896072387695,1.0,-4.691197119655044e-08,True
82,6.356799125671387,35.5177001953125,1.0,-6.076516001485288e-08,True
83,6.356910228729248,35.52587890625,1.0,-5.556425719532854e-08,True
84,6.357012748718262,35.53351974487305,1.0,-5.342061371038653e-08,True
85,6.357109069824219,35.54066848754883,1.0,-5.127243696279038e-08,True
86,6.357200622558594,35.5473518371582,1.0,-4.300104805565752e-08,True
87,6.35728645324707,35.5536003112793,1.0,-6.024607301924334e-08,True
