step,frobenius_norm,min_eigenvalue,trace_mean
59,3.999577045440674,-1.2262186146472231e-06,0.9999998807907104
60,3.99957013130188,-1.0361962949900771e-06,0.9999998807907104
61,3.9995627403259277,-1.1425279353716178e-06,0.9999998807907104
62,3.999555826187134,-1.136775836130255e-06,0.9999998807907104
63,3.9995486736297607,-1.0886056998060667e-06,0.9999998807907104
64,3.9995415210723877,-1.17038439384487e-06,0.9999998807907104
65,3.9995343685150146,-1.148096089309547e-06,0.9999998807907104
66,3.9995272159576416,-1.1799758112829295e-06,0.9999998807907104
67,3.9995200634002686,-1.279619823435496e-06,0.9999998807907104
68,3.9995129108428955,-1.2835809002353926e-06,0.9999998807907104
69,3.9995055198669434,-1.2437540135579184e-06,0.9999998807907104
70,3.9994983673095703,-1.2917718095195596e-06,0.9999998807907104
71,3.9994914531707764,-1.2575499113154365e-06,0.9999998807907104
72,3.999484062194824,-1.310069592364016e-06,0.9999998807907104
73,3.999476909637451,-1.3349387018024572e-06,0.9999998211860657
74,3.9994699954986572,-1.3441247119772015e-06,0.9999999403953552
75,3.999462604522705,-1.3410867722996045e-06,0.9999999403953552
76,3.999455451965332,-1.32199102154118e-06,0.9999998807907104
77,3.999448299407959,-1.3281734254633193e-06,0.9999998211860657
78,3.999441146850586,-1.3584841553893057e-06,0.9999999403953552
79,3.999433755874634,-1.4957147413952043e-06,0.9999999403953552
80,3.9994266033172607,-1.3695533880309085e-06,0.9999998211860657
81,3.9994194507598877,-1.4837931985312025e-06,0.9999998807907104
82,3.9994122982025146,-1.4488120996247744e-06,0.9999998807907104
83,3.9994051456451416,-1.5107276567505323e-06,0.9999998807907104
84,3.9993982315063477,-1.5531944654867402e-06,0.9999998807907104
85,3.9993910789489746,-1.5066273135744268e-06,0.9999998807907104
86,3.9993836879730225,-1.5451138324351632e-06,0.9999998807907104
87,3.9993767738342285,-1.6211629372264724e-06,0.9999998807907104
88,3.9993696212768555,-1.506743615209416e-06,0.9999998807907104
89,3.9993624687194824,-1.4943045698601054e-06,0.9999998807907104
90,3.999354839324951,-1.707086539681768e-06,0.9999998211860657
91,3.9993481636047363,-1.740908714964462e-06,0.9999998211860657
92,3.999340772628784,-1.627675601412193e-06,0.9999998211860657
93,3.999333620071411,-1.5920739997454803e-06,0.9999998211860657
94,3.999326705932617,-1.5920325040497119e-06,0.9999998211860657
95,3.999319314956665,-1.64859000051365e-06,0.9999998211860657
96,3.999312400817871,-1.7022875908878632e-06,0.9999998211860657
97,3.999305009841919,-1.5978787359927082e-06,0.9999998211860657
98,3.999297857284546,-1.7808154098020168e-06,0.9999998211860657
99,3.9992904663085938,-1.8438785218677367e-06,0.9999998211860657
100,3.9992835521698,-1.87765033388132e-06,0.9999998807907104
