regime,timestep,gamma,noise_sigma,trajectory_length,spatial_points,information_dimension,reference_gamma,representation,environment_conditioned
heavy_dissipation,60,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,61,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,62,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,63,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,64,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,65,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,66,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,67,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,68,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,69,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,70,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,71,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,72,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,73,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,74,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,75,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,76,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,77,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,78,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,79,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,80,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,81,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,82,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,83,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,84,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,85,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,86,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,87,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,88,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,89,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,90,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,91,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,92,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,93,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
